1  1  0.15918583935369101098-0.47092344097783541356*I
1  2  0.1470541869232733998-0.44249823620677058297*I
1  3  0.1339766556313912878-0.41000910189744305023*I
1  4  0.12067341457594758084-0.37513770207055104668*I
1  5  0.10728610634712093042-0.33846503790624432752*I
1  6  0.09387168649344204837-0.300356863377788677*I
1  7  0.08045811809411196505-0.2610915295899123522*I
1  8  0.067060227174454410516-0.22090184413795727366*I
1  9  0.05368592140909643516-0.17999358420219656009*I
1  10  0.040339125621193403434-0.13855529073282848509*I
1  11  0.027021358141769993932-0.09676415697036401164*I
1  12  0.01373267115950206593-0.054789958837331128114*I
1  13  4.7227213359257803013*10^(-4)-0.012797942837420260189*I
1  14  -0.012761014658465808284+0.029048836946939181987*I
1  15  -0.025968353045305644323+0.07058742611934722946*I
1  16  -0.039150497384405877675+0.1116528873375466034*I
1  17  -0.05230732296331391951+0.15207599598968333153*I
1  18  -0.06543718912872448495+0.19168041570636235836*I
1  19  -0.07853597209155339981+0.23027888016402010183*I
1  20  -0.09159544221329070569+0.26766750417726653226*I
1  21  -0.104600245263602588095+0.30361636499726760271*I
1  22  -0.117521522567336569117+0.33785177042301195067*I
1  23  -0.1303007038890849663+0.37001631567573076148*I
1  24  -0.14279288051508102968+0.39954735661820636654*I
1  25  -0.15427004680938464538+0.42483998538921710918*I
2  1  0.467796559692280466-0.94850819305308284643*I
2  2  0.43289223732255049256-0.89620766543548739875*I
2  3  0.39563266482999827694-0.8349318807736337463*I
2  4  0.3579942946693781381-0.7690540700176838267*I
2  5  0.32038223380729128383-0.6999898571854452192*I
2  6  0.28297098819831680616-0.62858525767113909043*I
2  7  0.2458557455772612674-0.555458188577500955*I
2  8  0.20909547563602797748-0.48110917639509747826*I
2  9  0.17272985687542751848-0.40596976022422027637*I
2  10  0.13678727973402204115-0.3304277565042443895*I
2  11  0.101289148509431870215-0.25484220669237978168*I
2  12  0.0662524433780824887-0.17955316234782787804*I
2  13  0.031691400264649172903-0.104888708542010566054*I
2  14  -0.0023812646960376567188-0.031170494120052229152*I
2  15  -0.035953341086996970722+0.041281462719845394792*I
2  16  -0.069012147793618064505+0.112144134461983737994*I
2  17  -0.101543430968656934606+0.18108648923460981383*I
2  18  -0.13352992445399048076+0.24776350464328125745*I
2  19  -0.164949220886663473+0.31180821370063851295*I
2  20  -0.19577026201639540685+0.37282000384888220416*I
2  21  -0.22594688539246838528+0.43034543026379346755*I
2  22  -0.2554043005323870625+0.48384237282041467018*I
2  23  -0.2840049755751770938+0.5325998354782987607*I
